CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
218177598020004,249604177010854,2006,72,9,2,30,2,2,2006,1,0.2,1.6,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177601020004,249604177010854,2006,72,9,2,30,3,2,2006,1,0.0,1.9,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177604020004,249604177010854,2006,72,9,2,30,4,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177596020004,249604177010854,2006,72,9,2,150,1,2,2006,1,0.0,1.4,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177599020004,249604177010854,2006,72,9,2,150,2,2,2006,1,0.0,1.0,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177602020004,249604177010854,2006,72,9,2,150,3,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177605020004,249604177010854,2006,72,9,2,150,4,2,2006,1,0.0,1.1,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177597020004,249604177010854,2006,72,9,2,270,1,2,2006,1,0.0,1.2,3.3,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177600020004,249604177010854,2006,72,9,2,270,2,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177603020004,249604177010854,2006,72,9,2,270,3,2,2006,1,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177606020004,249604177010854,2006,72,9,2,270,4,2,2006,1,0.0,1.3,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177619020004,249604181010854,2006,72,13,4,30,1,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177622020004,249604181010854,2006,72,13,4,30,2,2,2006,1,0.0,0.4,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177625020004,249604181010854,2006,72,13,4,30,3,2,2006,1,0.0,1.3,1.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177628020004,249604181010854,2006,72,13,4,30,4,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177620020004,249604181010854,2006,72,13,4,150,1,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177623020004,249604181010854,2006,72,13,4,150,2,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177626020004,249604181010854,2006,72,13,4,150,3,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177629020004,249604181010854,2006,72,13,4,150,4,2,2006,1,0.0,0.7,1.8,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177621020004,249604181010854,2006,72,13,4,270,1,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177624020004,249604181010854,2006,72,13,4,270,2,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177627020004,249604181010854,2006,72,13,4,270,3,2,2006,1,0.0,0.5,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177630020004,249604181010854,2006,72,13,4,270,4,2,2006,1,0.0,0.8,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176180020004,249604183010854,2006,72,13,5,30,1,2,2006,1,0.0,1.7,1.8,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176183020004,249604183010854,2006,72,13,5,30,2,2,2006,1,0.0,1.8,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176186020004,249604183010854,2006,72,13,5,30,3,2,2006,1,0.0,1.4,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176189020004,249604183010854,2006,72,13,5,30,4,2,2006,1,0.0,3.1,1.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176181020004,249604183010854,2006,72,13,5,150,1,2,2006,1,0.0,2.0,2.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
