CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1737545697290487,72,1,1,385662815489998,1,253419278010854,1,1.0,2024-12-18 10:23:44,
1737545698290487,72,2,1,385662815489998,1,253419278010854,1,1.0,2024-12-18 10:23:44,
1737545699290487,72,3,1,385662815489998,1,253419278010854,2,0.1434,2024-12-18 10:23:44,
1737545700290487,72,3,1,385662815489998,2,253419278010854,2,0.8566,2024-12-18 10:23:44,
1737545701290487,72,4,1,385662815489998,1,253419278010854,1,1.0,2024-12-18 10:23:44,
1737545702290487,72,1,2,385662815489998,1,253419278010854,1,1.0,2024-12-18 10:23:45,
1737545703290487,72,2,2,385662815489998,1,253419278010854,1,1.0,2024-12-18 10:23:45,
1737545704290487,72,3,2,385662815489998,1,253419278010854,2,0.1079,2024-12-18 10:23:45,
1737545705290487,72,3,2,385662815489998,2,253419278010854,2,0.8921,2024-12-18 10:23:45,
1737545706290487,72,4,2,385662815489998,1,253419278010854,1,1.0,2024-12-18 10:23:45,
1737544800290487,72,1,1,385662816489998,1,253419279010854,1,0.9196,2024-12-18 10:23:05,
1737544801290487,72,1,1,385662816489998,2,253419279010854,2,0.0804,2024-12-18 10:23:05,
1737544802290487,72,2,1,385662816489998,1,253419279010854,1,1.0,2024-12-18 10:23:05,
1737544803290487,72,3,1,385662816489998,2,253419279010854,2,1.0,2024-12-18 10:23:05,
1737544804290487,72,4,1,385662816489998,2,253419279010854,2,1.0,2024-12-18 10:23:05,
1737544805290487,72,1,2,385662816489998,1,253419279010854,1,1.0,2024-12-18 10:23:05,
1737544806290487,72,2,2,385662816489998,1,253419279010854,1,1.0,2024-12-18 10:23:05,
1737544807290487,72,3,2,385662816489998,2,253419279010854,2,1.0,2024-12-18 10:23:05,
1737544808290487,72,4,2,385662816489998,2,253419279010854,2,1.0,2024-12-18 10:23:05,
1737544885290487,72,1,1,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544886290487,72,2,1,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544887290487,72,3,1,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544888290487,72,4,1,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544889290487,72,1,2,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544890290487,72,2,2,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544891290487,72,3,2,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737544892290487,72,4,2,385662817489998,1,253419280010854,1,1.0,2024-12-18 10:23:11,
1737545259290487,72,1,1,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737545260290487,72,2,1,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
