CN,EVAL_CN,RSCD,EVALID,ESTN_UNIT,ESTN_UNIT_DESCR,STATECD,AREALAND_EU,AREATOT_EU,AREA_USED,AREA_SOURCE,P1PNTCNT_EU,P1SOURCE,CREATED_DATE,MODIFIED_DATE
705637172126144,705637139126144,33,721901,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,US CENSUS 2000,485857,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:37,
705637173126144,705637140126144,33,721903,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,US CENSUS 2000,13517072,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:38,
705637174126144,705637140126144,33,721903,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,US CENSUS 2000,759696,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:38,
705637175126144,705637140126144,33,721903,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,US CENSUS 2000,485857,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:38,
809405853290487,809405834290487,33,721907,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,US CENSUS 2000,13517072,NLCD 2001 PUERTO RICO MAINLAND,2020-12-09 14:51:15,
809405855290487,809405834290487,33,721907,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,US CENSUS 2000,759696,NLCD 2001 PUERTO RICO MAINLAND,2020-12-09 14:51:15,
809405856290487,809405834290487,33,721907,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,US CENSUS 2000,485857,NLCD 2001 PUERTO RICO MAINLAND,2020-12-09 14:51:15,
809768450290487,809768444290487,33,721800,4,MONA ISLAND,72,14033.22,93477.69,93477.69,US CENSUS 2000,420325,NLCD 2001 MONA,2020-12-16 06:30:33,
1671683947290487,1671683892290487,33,722403,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,,3006182.49,3006182.49,PIXEL COUNT,13517321,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:21,
1671683948290487,1671683892290487,33,722403,2,ISLAND OF VIEQUES,72,,168954.25,168954.25,PIXEL COUNT,759704,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:21,
1671683949290487,1671683892290487,33,722403,3,ISLAND OF CULEBRA,72,,108054.09,108054.09,PIXEL COUNT,485866,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:21,
1671684119290487,1671683893290487,33,722401,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,,3006182.49,3006182.49,PIXEL COUNT,13517321,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:25,
1671684120290487,1671683893290487,33,722401,2,ISLAND OF VIEQUES,72,,168954.25,168954.25,PIXEL COUNT,759704,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:25,
1671684121290487,1671683893290487,33,722401,3,ISLAND OF CULEBRA,72,,108054.09,108054.09,PIXEL COUNT,485866,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:25,
1671684115290487,1671683894290487,33,722400,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,,3006182.49,3006182.49,PIXEL COUNT,13517321,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:24,
1671684116290487,1671683894290487,33,722400,2,ISLAND OF VIEQUES,72,,168954.25,168954.25,PIXEL COUNT,759704,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:24,
1671684117290487,1671683894290487,33,722400,3,ISLAND OF CULEBRA,72,,108054.09,108054.09,PIXEL COUNT,485866,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:24,
1671683924290487,1671683897290487,33,722407,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,,3006182.49,3006182.49,PIXEL COUNT,13517321,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:18,
1671683925290487,1671683897290487,33,722407,999,ISLANDS OF CULEBRA AND VIEQUES,72,,277008.34,277008.34,PIXEL COUNT,1245570,NLCD 2001 PUERTO RICO MAINLAND,2024-08-26 08:15:19,
