CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,SOILSPCT,COMPCPCT,TYPRTDCD,TYPCMPCD,TYPAREACD,TYPOTHRCD,CREATED_DATE,MODIFIED_DATE
311816934489998,253419277010854,2011,72,65,4,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816757489998,253419273010854,2011,72,65,5,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311812124489998,253419213010854,2011,72,69,1,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812170489998,253419215010854,2011,72,69,5,4.0,2011,1.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311817351489998,253419287010854,2011,72,71,2,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817352489998,253419287010854,2011,72,71,2,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817353489998,253419287010854,2011,72,71,2,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311818357489998,253419303010854,2011,72,71,7,1.0,2011,5.0,40.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311818358489998,253419303010854,2011,72,71,7,2.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311818359489998,253419303010854,2011,72,71,7,3.0,2011,0.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311818360489998,253419303010854,2011,72,71,7,4.0,2011,10.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311810978489998,253419196010854,2011,72,73,13,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810979489998,253419196010854,2011,72,73,13,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810980489998,253419196010854,2011,72,73,13,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810981489998,253419196010854,2011,72,73,13,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311818081489998,253419297010854,2011,72,73,15,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311818082489998,253419297010854,2011,72,73,15,2.0,2011,10.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311818083489998,253419297010854,2011,72,73,15,3.0,2011,5.0,50.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311818084489998,253419297010854,2011,72,73,15,4.0,2011,10.0,5.0,0.0,1.0,0.0,0.0,2015-03-17 15:12:15,
311809904489998,253419181010854,2011,72,75,5,1.0,2011,20.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311809905489998,253419181010854,2011,72,75,5,2.0,2011,0.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311809906489998,253419181010854,2011,72,75,5,3.0,2011,5.0,60.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311812883489998,253419223010854,2011,72,75,9,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812884489998,253419223010854,2011,72,75,9,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812885489998,253419223010854,2011,72,75,9,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812886489998,253419223010854,2011,72,75,9,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810168489998,253419184010854,2011,72,79,6,1.0,2011,0.0,90.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810169489998,253419184010854,2011,72,79,6,2.0,2011,0.0,90.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810170489998,253419184010854,2011,72,79,6,3.0,2011,0.0,90.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810171489998,253419184010854,2011,72,79,6,4.0,2011,5.0,90.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810112489998,253419183010854,2011,72,79,9,1.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311810113489998,253419183010854,2011,72,79,9,2.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311810114489998,253419183010854,2011,72,79,9,3.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311810115489998,253419183010854,2011,72,79,9,4.0,2011,5.0,0.0,,,,,2015-03-17 15:12:14,
311815157489998,253419257010854,2011,72,81,8,1.0,2011,10.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815158489998,253419257010854,2011,72,81,8,2.0,2011,5.0,5.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815159489998,253419257010854,2011,72,81,8,3.0,2011,0.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815160489998,253419257010854,2011,72,81,8,4.0,2011,30.0,60.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815559489998,253419261010854,2011,72,83,2,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815560489998,253419261010854,2011,72,83,2,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815561489998,253419261010854,2011,72,83,2,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815562489998,253419261010854,2011,72,83,2,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817175489998,253419282010854,2011,72,87,3,1.0,2011,40.0,0.0,,,,,2015-03-17 15:12:15,
311817176489998,253419282010854,2011,72,87,3,2.0,2011,70.0,0.0,,,,,2015-03-17 15:12:15,
311817177489998,253419282010854,2011,72,87,3,3.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311817178489998,253419282010854,2011,72,87,3,4.0,2011,60.0,0.0,,,,,2015-03-17 15:12:15,
311813858489998,253419235010854,2011,72,89,3,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813859489998,253419235010854,2011,72,89,3,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813860489998,253419235010854,2011,72,89,3,3.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311813861489998,253419235010854,2011,72,89,3,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814339489998,253419243010854,2011,72,89,5,1.0,2011,20.0,0.0,,,,,2015-03-17 15:12:14,
311814340489998,253419243010854,2011,72,89,5,2.0,2011,5.0,0.0,,,,,2015-03-17 15:12:14,
311814341489998,253419243010854,2011,72,89,5,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814342489998,253419243010854,2011,72,89,5,4.0,2011,15.0,0.0,,,,,2015-03-17 15:12:14,
311816715489998,253419271010854,2011,72,91,1,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816716489998,253419271010854,2011,72,91,1,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816717489998,253419271010854,2011,72,91,1,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816718489998,253419271010854,2011,72,91,1,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816870489998,253419274010854,2011,72,93,4,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816871489998,253419274010854,2011,72,93,4,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816872489998,253419274010854,2011,72,93,4,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816873489998,253419274010854,2011,72,93,4,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311811267489998,253419201010854,2011,72,93,6,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811268489998,253419201010854,2011,72,93,6,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811269489998,253419201010854,2011,72,93,6,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811270489998,253419201010854,2011,72,93,6,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810666489998,253419193010854,2011,72,97,39,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810667489998,253419193010854,2011,72,97,39,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311815231489998,253419258010854,2011,72,97,168,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815232489998,253419258010854,2011,72,97,168,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815233489998,253419258010854,2011,72,97,168,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815234489998,253419258010854,2011,72,97,168,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311810751489998,253419194010854,2011,72,97,196,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810752489998,253419194010854,2011,72,97,196,2.0,2011,0.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810753489998,253419194010854,2011,72,97,196,3.0,2011,0.0,50.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810754489998,253419194010854,2011,72,97,196,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813521489998,253419229010854,2011,72,101,2,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813522489998,253419229010854,2011,72,101,2,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813523489998,253419229010854,2011,72,101,2,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813524489998,253419229010854,2011,72,101,2,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311818213489998,253419299010854,2011,72,103,13,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311818214489998,253419299010854,2011,72,103,13,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311818215489998,253419299010854,2011,72,103,13,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311818216489998,253419299010854,2011,72,103,13,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815037489998,253419254010854,2011,72,103,14,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311815038489998,253419254010854,2011,72,103,14,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311815039489998,253419254010854,2011,72,103,14,3.0,2011,50.0,50.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311815040489998,253419254010854,2011,72,103,14,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811664489998,253419192010854,2011,72,107,7,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811665489998,253419192010854,2011,72,107,7,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814917489998,253419253010854,2011,72,107,8,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814918489998,253419253010854,2011,72,107,8,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810034489998,253419182010854,2011,72,109,4,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810035489998,253419182010854,2011,72,109,4,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810036489998,253419182010854,2011,72,109,4,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810037489998,253419182010854,2011,72,109,4,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311817761489998,253419291010854,2011,72,109,6,1.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311817762489998,253419291010854,2011,72,109,6,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817763489998,253419291010854,2011,72,109,6,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311813226489998,253419227010854,2011,72,109,9,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813227489998,253419227010854,2011,72,109,9,2.0,2011,60.0,0.0,,,,,2015-03-17 15:12:14,
311813228489998,253419227010854,2011,72,109,9,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813229489998,253419227010854,2011,72,109,9,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813002489998,253419225010854,2011,72,111,7,1.0,2011,10.0,20.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311813003489998,253419225010854,2011,72,111,7,3.0,2011,40.0,0.0,,,,,2015-03-17 15:12:14,
311813004489998,253419225010854,2011,72,111,7,4.0,2011,30.0,0.0,,,,,2015-03-17 15:12:14,
311817498489998,253419289010854,2011,72,113,24,1.0,2011,5.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311817499489998,253419289010854,2011,72,113,24,2.0,2011,20.0,0.0,,,,,2015-03-17 15:12:15,
311818262489998,253419300010854,2011,72,117,3,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311818263489998,253419300010854,2011,72,117,3,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311814585489998,253419247010854,2011,72,119,5,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814586489998,253419247010854,2011,72,119,5,2.0,2011,15.0,0.0,,,,,2015-03-17 15:12:14,
311814587489998,253419247010854,2011,72,119,5,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814588489998,253419247010854,2011,72,119,5,4.0,2011,5.0,0.0,,,,,2015-03-17 15:12:14,
311814208489998,253419242010854,2011,72,119,25,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814209489998,253419242010854,2011,72,119,25,2.0,2011,0.0,50.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311814210489998,253419242010854,2011,72,119,25,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814211489998,253419242010854,2011,72,119,25,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811416489998,253419204010854,2011,72,121,2,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811417489998,253419204010854,2011,72,121,2,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811418489998,253419204010854,2011,72,121,2,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811419489998,253419204010854,2011,72,121,2,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810528489998,253419189010854,2011,72,123,5,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810529489998,253419189010854,2011,72,123,5,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810530489998,253419189010854,2011,72,123,5,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809333489998,253419170010854,2011,72,123,9,1.0,2011,0.0,40.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311809334489998,253419170010854,2011,72,123,9,2.0,2011,20.0,0.0,,,,,2015-03-17 15:12:14,
311809335489998,253419170010854,2011,72,123,9,3.0,2011,30.0,0.0,,,,,2015-03-17 15:12:14,
311809336489998,253419170010854,2011,72,123,9,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812063489998,253419212010854,2011,72,125,3,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812064489998,253419212010854,2011,72,125,3,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812065489998,253419212010854,2011,72,125,3,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812066489998,253419212010854,2011,72,125,3,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813404489998,253419211010854,2011,72,125,5,1.0,2011,0.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311813405489998,253419211010854,2011,72,125,5,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813406489998,253419211010854,2011,72,125,5,3.0,2011,0.0,90.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311813407489998,253419211010854,2011,72,125,5,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811107489998,253419197010854,2011,72,125,9,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811108489998,253419197010854,2011,72,125,9,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811109489998,253419197010854,2011,72,125,9,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811110489998,253419197010854,2011,72,125,9,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811717489998,253419199010854,2011,72,129,6,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811718489998,253419199010854,2011,72,129,6,3.0,2011,5.0,5.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311811719489998,253419199010854,2011,72,129,6,4.0,2011,5.0,0.0,,,,,2015-03-17 15:12:14,
311813665489998,253419231010854,2011,72,131,2,1.0,2011,0.0,99.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311813666489998,253419231010854,2011,72,131,2,2.0,2011,5.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311813667489998,253419231010854,2011,72,131,2,3.0,2011,0.0,99.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
