TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,THRESHOLD_TYPE,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
311803902489998,,197190668020004,72,SUBPLOT,,7470,1,5.0,36,36,40,,1,0,,,,,3,,,0,,63.6957,,,,,,,,,1.275018,,,,1.275018,,,,1.275018,,,,,,,,,,,,,,,,,,,2.730358,100.811117,15.719344,47.885281,7.466688,,,2024-12-18 10:10:05,
311803916489998,,197190668020004,72,SUBPLOT,,8931,1,5.0,42,42,25,,1,0,,,,,3,,,0,,63.6957,,,,,,,,,1.719795,,,,1.719795,,,,1.719795,,,,,,,,,,,,,,,,,,,2.730358,116.709948,21.202877,55.437225,10.071366,,,2024-12-18 10:10:05,
311803927489998,249715234010854,197190668020004,72,SUBPLOT,,8558,1,5.0,40,40,15,,1,0,,,,,3,,,0,,63.6957,,,,,,,,,2.134734,,,,2.134734,,,,2.134734,,,,,,,,,,,,,,,,,,,2.730358,111.42382,26.318545,52.926315,12.501309,,,2024-12-18 10:10:05,
311803974489998,,197190669020004,72,MICROPLOT,,8644,1,1.0,18,18,20,,1,,,,,,2,4.3,,0,,158.1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,6.430789,0.399217,3.054625,0.189628,,,2024-12-18 10:10:05,
311818801489998,,29590519020004,72,MICROPLOT,,8781,1,1.0,15,15,15,,1,,,,,,2,4.9,,0,,94.8573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,5.576137,0.399217,2.648665,0.189628,,,2024-12-18 10:03:57,
311816832489998,,253419274010854,72,MICROPLOT,,7887,1,1.0,17,17,20,,1,,,,,,2,,,0,,75.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,2.322226,0.399217,1.103057,0.189628,,,2024-12-18 09:57:10,
311803970489998,249713352010854,197190669020004,72,SAWLOG,,6060,1,11.0,43,43,20,,1,0,,,,,2,,,0,,158.1686,,,,,,,,,11.220822,,,,11.220822,,,,11.220822,,,,,,,,,,,,,,,,,,,15.028625,540.8741,108.988089,256.915198,51.769342,,,2024-12-18 10:10:05,
311803972489998,,197190669020004,72,SUBPLOT,,6728,1,5.0,30,30,15,,1,0,,,,,3,,,0,,158.1686,,,,,,,,,1.368036,,,,1.368036,,,,1.368036,,,,,,,,,,,,,,,,,,,2.730358,118.895614,16.866137,56.475417,8.011415,,,2024-12-18 10:10:05,
311803983489998,249716127010854,197190669020004,72,SUBPLOT,,7290,1,5.0,40,40,50,,1,0,,,,,3,,,0,,158.1686,,,,,,,,,1.366887,,,,1.366887,,,,1.366887,,,,,,,,,,,,,,,,,,,2.730358,148.896818,16.851972,72.51275,8.20691,,,2024-12-18 10:10:05,
311804019489998,,197190672020004,72,MICROPLOT,,7813,1,1.0,10,10,5,,1,,,,,,2,,,0,,64.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,1.402743,0.399217,0.666303,0.189628,,,2024-12-18 10:10:21,
