CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SMPLNNBR,MEASYEAR,FORFLTHK,LTRLRTHK,FORFLTHKN,LTRLRTHKN,FORFLTHKS,LTRLRTHKS,FORFLTHKE,LTRLRTHKE,FORFLTHKW,LTRLRTHKW,CONDID,VSTNBR,TXTRLYR1,TXTRLYR2,DPTHSBSL,SOILS_STATCD,CREATED_DATE,MODIFIED_DATE
311810174489998,253419184010854,2011,72,79,6,4,2011,0.325,0.325,0.0,0.0,0.5,0.5,0.5,0.5,0.3,0.3,1,2,,,1.9,1,2015-03-17 15:12:14,
311810116489998,253419183010854,2011,72,79,9,2,2011,0.95,0.95,0.6,0.6,1.0,1.0,0.8,0.8,1.4,1.4,1,2,9.0,9.0,3.1,1,2015-03-17 15:12:14,
311810117489998,253419183010854,2011,72,79,9,3,2011,1.65,1.65,2.3,2.3,1.4,1.4,1.7,1.7,1.2,1.2,1,2,,,2.5,1,2015-03-17 15:12:14,
311810118489998,253419183010854,2011,72,79,9,4,2011,0.575,0.575,0.0,0.0,0.7,0.7,0.1,0.1,1.5,1.5,1,2,,,2.2,1,2015-03-17 15:12:14,
311815161489998,253419257010854,2011,72,81,8,2,2011,3.475,3.475,3.4,3.4,4.5,4.5,0.8,0.8,5.2,5.2,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311815162489998,253419257010854,2011,72,81,8,3,2011,,,,,,,,,,,1,2,,,,4,2015-03-17 15:12:15,
311815163489998,253419257010854,2011,72,81,8,4,2011,1.125,1.125,0.5,0.5,0.3,0.3,2.0,2.0,1.7,1.7,1,2,,,20.0,1,2015-03-17 15:12:15,
311815563489998,253419261010854,2011,72,83,2,2,2011,1.95,1.95,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,1,2,2.0,2.0,14.7,1,2015-03-17 15:12:15,
311815565489998,253419261010854,2011,72,83,2,4,2011,2.225,2.225,1.0,1.0,2.3,2.3,2.6,2.6,3.0,3.0,1,2,,,20.0,1,2015-03-17 15:12:15,
311817179489998,253419282010854,2011,72,87,3,2,2011,0.475,0.475,1.2,1.2,0.0,0.0,0.0,0.0,0.7,0.7,1,2,1.0,1.0,20.0,1,2015-03-17 15:12:15,
311817180489998,253419282010854,2011,72,87,3,3,2011,0.6,0.1,1.2,0.1,0.0,0.0,0.3,0.3,0.9,0.0,1,2,,,17.0,1,2015-03-17 15:12:15,
311817181489998,253419282010854,2011,72,87,3,4,2011,0.625,0.625,0.6,0.6,0.8,0.8,0.5,0.5,0.6,0.6,1,2,,,20.0,1,2015-03-17 15:12:15,
311813862489998,253419235010854,2011,72,89,3,2,2011,3.325,1.275,2.8,0.8,3.5,1.3,4.0,1.5,3.0,1.5,1,2,1.0,1.0,3.0,1,2015-03-17 15:12:14,
311813863489998,253419235010854,2011,72,89,3,3,2011,4.625,3.2,8.5,4.0,2.5,2.0,5.5,5.2,2.0,1.6,1,2,,,3.2,1,2015-03-17 15:12:14,
311813864489998,253419235010854,2011,72,89,3,4,2011,1.325,1.25,0.9,0.9,2.0,1.7,1.5,1.5,0.9,0.9,1,2,,,7.9,1,2015-03-17 15:12:14,
311814343489998,253419243010854,2011,72,89,5,2,2011,0.575,0.575,0.6,0.6,0.6,0.6,0.7,0.7,0.4,0.4,1,2,2.0,2.0,10.4,1,2015-03-17 15:12:14,
311814344489998,253419243010854,2011,72,89,5,3,2011,4.275,2.375,3.0,1.5,5.0,3.0,3.0,2.0,6.1,3.0,1,2,,,12.0,1,2015-03-17 15:12:14,
311814345489998,253419243010854,2011,72,89,5,4,2011,2.75,2.75,2.5,2.5,3.0,3.0,1.5,1.5,4.0,4.0,1,2,,,20.0,1,2015-03-17 15:12:14,
311816719489998,253419271010854,2011,72,91,1,2,2011,2.875,2.375,2.0,1.2,3.0,2.5,2.5,2.2,4.0,3.6,1,2,1.0,1.0,5.5,1,2015-03-17 15:12:15,
311816720489998,253419271010854,2011,72,91,1,3,2011,0.5,0.5,0.6,0.6,0.7,0.7,0.4,0.4,0.3,0.3,2,2,,,7.0,1,2015-03-17 15:12:15,
311816721489998,253419271010854,2011,72,91,1,4,2011,2.875,2.875,2.0,2.0,4.0,4.0,3.0,3.0,2.5,2.5,1,2,,,9.2,1,2015-03-17 15:12:15,
311816874489998,253419274010854,2011,72,93,4,2,2011,2.5,1.8,2.5,1.5,3.0,2.5,2.5,2.2,2.0,1.0,1,2,1.0,1.0,6.3,1,2015-03-17 15:12:15,
311816875489998,253419274010854,2011,72,93,4,3,2011,2.45,1.775,2.5,2.0,3.0,2.5,1.3,1.1,3.0,1.5,1,2,,,4.9,1,2015-03-17 15:12:15,
311816876489998,253419274010854,2011,72,93,4,4,2011,2.275,1.675,2.0,1.5,3.5,1.7,2.1,2.0,1.5,1.5,1,2,,,4.0,1,2015-03-17 15:12:15,
311811273489998,253419201010854,2011,72,93,6,4,2011,1.825,0.95,2.3,1.3,2.5,0.5,2.0,1.5,0.5,0.5,1,2,,,0.0,1,2015-03-17 15:12:14,
311810668489998,253419193010854,2011,72,97,39,2,2011,2.475,2.475,1.5,1.5,2.2,2.2,2.8,2.8,3.4,3.4,1,2,1.0,1.0,8.0,1,2015-03-17 15:12:14,
311810669489998,253419193010854,2011,72,97,39,3,2011,,,,,,,,,,,1,2,,,,6,2015-03-17 15:12:14,
311810670489998,253419193010854,2011,72,97,39,4,2011,2.125,2.025,2.0,2.0,2.2,2.2,2.8,2.4,1.5,1.5,1,2,,,4.5,1,2015-03-17 15:12:14,
311815235489998,253419258010854,2011,72,97,168,2,2011,2.65,2.65,1.8,1.8,4.3,4.3,3.0,3.0,1.5,1.5,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311815236489998,253419258010854,2011,72,97,168,3,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:15,
311815237489998,253419258010854,2011,72,97,168,4,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:15,
311810755489998,253419194010854,2011,72,97,196,2,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:14,
311810756489998,253419194010854,2011,72,97,196,3,2011,1.25,1.25,1.6,1.6,1.3,1.3,1.0,1.0,1.1,1.1,1,2,,,3.8,1,2015-03-17 15:12:14,
311810757489998,253419194010854,2011,72,97,196,4,2011,2.275,2.275,2.2,2.2,2.9,2.9,1.6,1.6,2.4,2.4,1,2,,,4.0,1,2015-03-17 15:12:14,
311813525489998,253419229010854,2011,72,101,2,2,2011,1.225,1.225,0.5,0.5,1.7,1.7,0.2,0.2,2.5,2.5,1,2,9.0,9.0,5.5,1,2015-03-17 15:12:14,
311813526489998,253419229010854,2011,72,101,2,3,2011,1.6,1.6,0.9,0.9,1.8,1.8,2.4,2.4,1.3,1.3,1,2,,,3.0,1,2015-03-17 15:12:14,
